id,name,maintenance_responsibility,installed,material,length,number_of_steps,schools_count,school_score,total_population,transit_rider_count,transit_score,detour_score,overall_score,image,neighborhood,council_district,ward,tract,public_works_division,pli_division,police_zone,fire_zone,latitude,longitude
1672464889,McNaugher St from Olive St to Mountford Ave,1st Division,,Wood,115.0,23.0,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/McNaugher_St_from_Olive_St_to_Mountford_Ave.jpg,Fineview,6.0,25,42003250900,1,25,1,1-10,40.46453746,-80.00801864
1316170871,Merrimac St and Woodruff St to Omaha St,5th Division,,Concrete,40.0,23.0,0.0,100.0,778.0,64.0,5.0,2.0,3.0,https://tools.wprdc.org/images/pittsburgh/steps/Merrimac_St_and_Woodruff_St_to_Omaha_St.jpg,Mount Washington,2.0,19,42003190300,5,19,3,4-1,40.43044478,-80.01384683
1070329106,Merwyn Ave from Ashlyn St,5th Division,,Concrete,32.0,4.0,0.0,100.0,402.0,0.0,5.0,10.0,4.0,https://tools.wprdc.org/images/pittsburgh/steps/Merwyn_Ave_from_Ashlyn_St.jpg,Sheraden,2.0,20,42003562500,5,20,6,1-16,40.45876142,-80.05341341
83139752,Middle St from Knoll St to Dunloe Ave,1st Division,1948-01-01,Concrete,134.0,101.0,1.0,6.0,706.0,229.0,8.0,5.0,10.0,https://tools.wprdc.org/images/pittsburgh/steps/Middle_St_from_Knoll_St_to_Dunloe_Ave.jpg,East Allegheny,1.0,23,42003563200,1,23,1,1-6,40.4579175,-80.00040629
1452476703,Mifflin Rd at Mifflin Rd Terrace to Cox Place,3rd Division,1960-01-01,Concrete,262.0,65.0,1.0,7.0,227.0,73.0,6.0,10.0,4.0,https://tools.wprdc.org/images/pittsburgh/steps/Mifflin_Rd_at_Mifflin_Rd_Terrace_to_Cox_Place.jpg,Lincoln Place,5.0,31,42003310200,3,31,4,4-20,40.37085016,-79.91539526
7002735,Milan St from Whited St,4th Division,,Wood,16.0,12.0,0.0,100.0,743.0,44.0,9.0,10.0,4.0,https://tools.wprdc.org/images/pittsburgh/steps/Milan_St_from_Whited_St.jpg,Brookline,4.0,19,42003320600,5,19,6,4-26,40.39380228,-80.01332689
2109131548,Milnor St from Attell Way to Preston St,5th Division,1947-01-01,Concrete,115.0,16.0,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Milnor_St_from_Attell_Way_to_Preston_St.jpg,Westwood,2.0,28,42003563100,5,28,6,1-18,40.43638682,-80.05483670000001
656895031,Milnor St from Barr Ave to Attell Way,5th Division,1947-01-01,Concrete,110.0,46.0,0.0,100.0,920.0,37.0,8.0,9.0,5.0,https://tools.wprdc.org/images/pittsburgh/steps/Milnor_St_from_Barr_Ave_to_Attell_Way.jpg,Westwood,2.0,28,42003563100,5,28,6,1-18,40.43670987,-80.05485946
1602761025,Milnor St from Clearview Ave to Wellborn Way,5th Division,1947-01-01,Concrete,98.0,40.0,0.0,100.0,1016.0,37.0,9.0,10.0,6.0,https://tools.wprdc.org/images/pittsburgh/steps/Milnor_St_from_Clearview_Ave_to_Wellborn_Way.jpg,Westwood,2.0,28,42003563100,5,28,6,1-18,40.43743946,-80.0549741
507398882,Milnor St from Preston St to Sedley Way,5th Division,1947-01-01,Concrete,133.0,43.0,,,,,,,,https://tools.wprdc.org/images/pittsburgh/steps/Milnor_St_from_Preston_St_to_Sedley_Way.jpg,Westwood,2.0,28,42003563100,5,28,6,1-18,40.43594938,-80.05479379
